,project_id,img_file
57,https://www.indiegogo.com/projects/incharge-x-the-100w-swiss-army-knife-of-cables/pica,img_58.jpg
58,https://www.indiegogo.com/projects/the-smallest-240w-laptop-charger-with-pd-3-0/pica,img_59.jpg
59,https://www.indiegogo.com/projects/cuddy-the-best-portable-composting-toilet/pica,img_60.jpg
60,https://www.indiegogo.com/projects/the-book--28/pica,img_61.jpg
61,https://www.indiegogo.com/projects/ninebot-kickscooter-f-series-function-fashion-fun/pica,img_62.jpg
62,https://www.indiegogo.com/projects/the-couch-console/pica,img_63.jpg
63,https://www.indiegogo.com/projects/return-of-the-living-dead-ready-to-party/pica,img_64.jpg
64,https://www.indiegogo.com/projects/return-of-the-living-dead-ready-to-party/pica,img_65.jpg
65,https://www.indiegogo.com/projects/helium--5/pica,img_66.jpg
66,https://www.indiegogo.com/projects/kaiketsu/pica,img_67.jpg
