,url,title,image,description,category,balance,currency,progress,project_id
46,https://www.indiegogo.com/projects/powerben-world-s-first-pd200w-input-powerbank--2/pica,"PowerBen,World’s First PD200W Input Powerbank","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dnkq2lto4bdtm5rk38bd.jpg","Charge 96% in 20mins| DC360W Output丨2*USB-C, 2*USB-A, 2*DC丨Airline Safe | CPAP,Laptop, GoPro, E-Bike",ENERGY & GREEN TECH,"$129,449 ",USD raised,"1,294%",https://www.indiegogo.com/projects/powerben-world-s-first-pd200w-input-powerbank--2/pica
47,https://www.indiegogo.com/projects/colombian-specialty-coffee-for-biodiversity/pica,Colombian Specialty Coffee for Biodiversity,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/azzzgvuzhvi0naldz0so.jpg",Regenerate the planet by drinking one of the best coffees on Earth and empower indigenous farmers.,FOOD & BEVERAGES,"€3,014 ",EUR raised,15%,https://www.indiegogo.com/projects/colombian-specialty-coffee-for-biodiversity/pica
48,https://www.indiegogo.com/projects/s-pot-the-engine-behind-your-plant-s-bloom/pica,s-pot: The Engine Behind Your Plant's Bloom,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/v7c2nvizvdbkldmjsxot.jpg","Auto-watering system, Samsung horticulture LED light & other intelligent gardening features",HOME,"$40,336 ",USD raised,403%,https://www.indiegogo.com/projects/s-pot-the-engine-behind-your-plant-s-bloom/pica
49,https://www.indiegogo.com/projects/the-secret-of-delicious-coffee-the-brewing-guide/pica,The Secret of Delicious Coffee - The Brewing Guide,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jctulxua1xyzzkm1yqqx.jpg",The world's first coffee recipe card deck designed to give back to the coffee community.,FOOD & BEVERAGES,"$20,068 ",USD raised,417%,https://www.indiegogo.com/projects/the-secret-of-delicious-coffee-the-brewing-guide/pica
50,https://www.indiegogo.com/projects/re-open-bipoc-worker-owned-yoga-studio/pica,Re-open BIPOC Worker-Owned Yoga Studio,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jbbqzkdq8tluxzx1jwjg.jpg","Help us secure a space to do our work of mindfulness, social justice, & public health. #BIPOCyogis",WELLNESS,$105 ,USD raised,0%,https://www.indiegogo.com/projects/re-open-bipoc-worker-owned-yoga-studio/pica
51,https://www.indiegogo.com/projects/re-open-bipoc-worker-owned-yoga-studio/pica,Re-open BIPOC Worker-Owned Yoga Studio,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jbbqzkdq8tluxzx1jwjg.jpg","Help us secure a space to do our work of mindfulness, social justice, & public health. #BIPOCyogis",WELLNESS,$105 ,USD raised,0%,https://www.indiegogo.com/projects/re-open-bipoc-worker-owned-yoga-studio/pica
52,https://www.indiegogo.com/projects/the-story-of-the-nutcracker-documentary/pica,The Story of the Nutcracker Documentary,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jz8updfendviwncbqjk1.jpg",A dance studio overcomes challenges of the COVID-19 pandemic to present their holiday production,FILM,"$5,153 ",USD raised,57%,https://www.indiegogo.com/projects/the-story-of-the-nutcracker-documentary/pica
53,https://www.indiegogo.com/projects/pepper-cannon-the-pepper-mill-for-pepper-lovers/pica,Pepper Cannon: The Pepper Mill for Pepper Lovers,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zvxwonb0z6956szcvtfe.jpg",Pepper your steak in 7 cranks instead of 70.,HOME,"$2,124,964 ",USD raised,"11,047%",https://www.indiegogo.com/projects/pepper-cannon-the-pepper-mill-for-pepper-lovers/pica
54,https://www.indiegogo.com/projects/fiendish-chapter-1-demons/pica,FIENDISH: Chapter 1: Demons,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fucmivqkn74dnhr3vb97.jpg",A comic about the mysteries that lurk between the dimensions- for fans of manga and dark fantasy!,COMICS,"$19,452 ",USD raised,697%,https://www.indiegogo.com/projects/fiendish-chapter-1-demons/pica
55,https://www.indiegogo.com/projects/six-gun-gorilla-cemetery-without-crosses--2/pica,SIX-GUN GORILLA: CEMETERY WITHOUT CROSSES,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/v6dqgiy0vfkimn0d2ymm.jpg","The Old West's Strangest, Most Startling Hero Faces His Greatest Peril Yet!",COMICS,"$5,730 ",USD raised,191%,https://www.indiegogo.com/projects/six-gun-gorilla-cemetery-without-crosses--2/pica
